program_id,program_name,program_email,org_id
100,Youth Invasion ,teens@warhol.org,36
101,Youth Arts Council ,teens@warhol.org,36
102,Student Assistant Program ,teens@warhol.org,36
103,Chain Reaction Contraption Contest,chainreactioncontraption@gmail.com,20
104,Carnegie STEM Girls,,20
105,Museum Lab  After School Program,,37
106,Muesum Lab Workshops,,37
107,Be a smart shopper,,17
108,ibiology,,39
109,Hope Academy of Music and the Arts,HopeAcademyArts@gmail.com,40
110,School 2 Career (S2C),,41
111,The Life Skills Just for Girls Forum,,42
112,Ruth’s Way’s Remarkable Readiness and Employment Forum,,42
113,The Junior Toastmasters Communication and Leadership Development Forum,,42
114,The Smart Money Management Forum,,42
115,The Virtuous Young Ladies Summer Scholarship Forum,,42
116,The Marvelous Mentoring Program,,42
117,Remake Learning Days,,43
118,Sea AIr and Land Challenge,seaairland@arl.psu.edu,44
119,SMART-ER - CMU Robotics Academy,,1
120,Smithsonian Learning Lab,,45
121,Storm Drain Stenciling Program,SOevents@alcosan.org,35
122,Summer Tech Camps (CMU),,1
123,The Citizen Science Lab,thecitizensciencelab@gmail.com,46
124,The Fairchild Challenge at Phipps,kborger@phipps.conservatory.org,29
125,The Labs @ CLP,thelabs@carnegielibrary.org,47
126,The Irma Freeman Center for Imagination - Classes,info@irmafreeman.org,48
127,The Irma Freeman Center for Imagination - Camps,info@irmafreeman.org,48
128,The Queen's Gambit Chess Institutiute's Masters in Residence,ashleylynnpriore@tqgchess.institute,49
129,The National Academies Press - What You Need to Know About Energy,,50
130,The Mattress Factory Art Museum - Teen Summer Workshop Series,,51
131,The Mattress Factory Art Museum - Tean Art Cooperative,,51
132,University of Pittsburgh: Hillman YES Academy (two summers),,14
133,YMCA Pittsburgh: Y Creator Space,ycs@ymcapgh.org,53
134,TechGYRLS®,,52
135,STEM Stars,,53
136,Fully Online Virtual Robotics Curriculum,cmra@nrec.ri.cmu.edu,54
137,College and Career Readiness Program (CCRP),,56
138,"Bloomfield 
Garfield Corporation - Learn and Earn",,56
139,School to Work Transition Program (STW),,57
140,Learning Innovation,,58
141,Bootup PGH,,59
142,Phase 4 - Learn and Earn,,60
143,Alternative Education Program,,60
144,Diploma Workforce Program,,60
145,Best Buy Teen Tech Center,,60
146,YES - Learn and Earn,,12
147,The 412 Youth Zone - Learn and Earn,,58
148,YP Ignite,,61
149,Nursing Assistant/Patient Care Technician - EIC Program,pathwaystowork@upmc.edu,62
150,EVS Aide EIC,pathwaystowork@upmc.edu,62
151,Shuttle Bus Operator Trainee,pathwaystowork@upmc.edu,62
152,Medical Assistant Trainee,pathwaystowork@upmc.edu,62
