opportunity_id,description,category,opportunity_type,opportunity_field,age_range,grade_level,phone_number,Ext,website,Images,modality,qualification,paid,cost,source,rating_5_star,org_id,event_address_id,contact_id,program_id,subprogam_id
11,"Our Snap Circuits Lab provides a hands on introduction to ECE for middle school students. During this session, we will provide students with snap circuits kits and teach them the very basics about building circuits, then allow them to complete their own projects!",Enrichment Exposure Exploration,Courses/Workshops,Engineering,11-14,Middle School,,,http://eceoutreach.ece.cmu.edu/snap-circuits/program.html,,0,,0,,Gelfand Center,,1,11,,2,
12,"This one-week program introduces rising 10th and 11th graders to engineering–showing them what it is like to study engineering in college and what careers it can lead to. Students will get hands-on experience using engineering software to design products and then fabricate them in a CMU makerspace. Students will also learn about different engineering disciplines through daily presentations and tours of CMU engineering labs.

The CMU Engineering Workshop offers hands-on experiences to high school students in the realm of mechanical engineering with a focus on Design and Manufacturing. In their projects, students will come up with their own product designs and then will learn how to render their designs for fabrication through engineering sketches and Computer-Aided Design (CAD). They will be taught how to evaluate a design with Computer-Aided Engineering (CAE), and they will fabricate their products utilizing laser cutters, 3D printers, and hand-held tools. Students will complete three to five unique projects during the week and will, of course, get to take their work home.",Enrichment Exposure Exploration,Courses/Workshops,Engineering,14-18,High School,,,https://www.cmuengineeringworkshop.org/,,0,"Juniors & Seniors
Application & Official School Transcript",0,$900.00,Gelfand Center,,1,12,,3,
13,"Each spring, the Engineering Research Accelerator hosts Moving 4th Into Engineering, an engineering outreach event. Approximately 30 fourth-grade students from various Pittsburgh area schools are invited to visit Carnegie Mellon’s campus and participate in a full day of engineering activities. This program provides the students with an interactive introduction to the exciting world of engineering and exposes them to fun and educational, hands-on activities geared toward their age and ability level. Through various experiments and exercises, students learn how engineering plays a part in many of the ordinary things they see every day.

Moving 4th aims to inspire young students to seek out future studies in math, science, and engineering. This early exposure to the world of engineering aims to excite young students about science and math and to make them more likely to pursue technical courses throughout their education. Many times, this program serves as an introduction to these concepts and enlightens children who may not have otherwise sought out such educational opportunities. It is important that the university shares its educational resources with the local community, to support and foster the education of young students who may otherwise see the institution as a place that only serves economically advantaged populations.",Enrichment Exposure Exploration,Events,Engineering,5-11,Elementary School,,,https://engineering.cmu.edu/education/stem/programs.html,,0,ages 9-10,0,$0.00,Gelfand Center,,1,13,17,4,
14,"Everyday Engineering is a Spring semester virtual event for students in 6th – 8th grades with the intent to demonstrate that engineering is all around us. Our goal is to get middle school students thinking about their environments with more curious eyes. We want them to look at everyday items from sporting equipment to food to electronics to furniture and beyond and ask themselves: What problem does this solve? Who has the problem? Why is it important to solve the problem? What types of engineering were used to solve the problem? The event includes a presentation that introduces them to various engineering disciplines through recognizable examples, as well as a series of exhibits for the students to visit where they can interact with CMU engineering students to learn more about the objects on display and the engineering concepts that go into them.",Enrichment Exposure Exploration,Events,Engineering,11-14,Middle School,,,https://engineering.cmu.edu/education/stem/programs.html,,1,"
A parent or guardian must accompany minor children at all times during the event. Only children in grades 6 through 8 are eligible to attend. Please eat lunch before arriving as food will not be provided.",0,$0.00,Gelfand Center,,1,,17,5,
15,The Summer Engineering Experience (SEE) is a week-long summer experience for students between the ages of 13-16 who are interested in math and science. SEE gives students hands-on experience in different forms of engineering.,Enrichment Exposure Exploration,Courses/Workshops,Engineering,11-14,Middle School,412-268-2142,,https://engineering.cmu.edu/education/stem/programs/see.html,,0,"Residential housing is NOT available during SEE. For this reason, we encourage applications from students who live within daily commuting distance of CMU’s campus. If your child is interested in submitting an application and you do not live in the area, please be aware that if your child is accepted, you are responsible for providing all housing accommodations and daily travel arrangements. All applicants must be able to commit to attending every day of the program from 9:00 a.m. –  3:00 pm.

Ages 13-16
",0,$0.00,Gelfand Center,,1,14,17,6,
16,The Summer Engineering Experience (SEE) is a week-long summer experience for students between the ages of 13-16 who are interested in math and science. SEE gives students hands-on experience in different forms of engineering.,Enrichment Exposure Exploration,Courses/Workshops,Engineering,14-18,High School,412-268-2142,,https://engineering.cmu.edu/education/stem/programs/see.html,,0,"Residential housing is NOT available during SEE. For this reason, we encourage applications from students who live within daily commuting distance of CMU’s campus. If your child is interested in submitting an application and you do not live in the area, please be aware that if your child is accepted, you are responsible for providing all housing accommodations and daily travel arrangements. All applicants must be able to commit to attending every day of the program from 9:00 a.m. –  3:00 pm.

Ages 13-16
",0,$0.00,Gelfand Center,,1,14,17,6,
17,The Summer Engineering Experience (SEE) is a week-long summer experience for students between the ages of 13-16 who are interested in math and science. SEE gives students hands-on experience in different forms of engineering.,Enrichment Exposure Exploration,Courses/Workshops,Engineering,14-18,High School,412-268-2142,,https://engineering.cmu.edu/education/stem/programs/see.html,,0,"Residential housing is NOT available during SEE. For this reason, we encourage applications from students who live within daily commuting distance of CMU’s campus. If your child is interested in submitting an application and you do not live in the area, please be aware that if your child is accepted, you are responsible for providing all housing accommodations and daily travel arrangements. All applicants must be able to commit to attending every day of the program from 9:00 a.m. –  3:00 pm.

Ages 13-16
",0,$0.00,Gelfand Center,,1,14,17,6,
18,"SUCCEED is a 5-day summer program designed to complement what you have studied in school and provide you with opportunities to expand your understanding of energy, the environment, and how those relate to climate change. At the end of the program, you will be able to answer a variety of question on mitigation, adaptation, and dealing with unexpected impacts, such as: What is climate change? What is the role of engineering to solve the climate change challenge? How does a power plant work? Where & how is your electricity generated? How much do we consume, and how does this relate to electricity? What new building designs can be done? What can and can't you do to mitigate the impacts of climate change? Why is policy needed? Society has to make a decision, and how do you go about it? What careers could you have in climate, energy, or the environment?

The program includes a variety of experiments, field trips and activities organized by PhD students from Carnegie Mellon University’s department of Engineering & Public Policy.
",Enrichment Exposure Exploration,Courses/Workshops,Environmental Science,14-18,High School,412-268-6657,,"https://cedmcenter.org/succeed/succeed-student-program/#:~:text=SUCCEED%20is%20a%20program%20where,relationship%20with%20the%20energy%20sector.",,0,"SUCCEED is a coed program open to rising 10th and 11th graders.
",0,$0.00,Gelfand Center,,1,15,27,7,
19,"Are you a high school student who is interested in pursuing a future in engineering? Do you want to learn more about it? Then join us at Be an Engineer! This Fall semester program designed especially for students in 9th through 12th grades comprises an overview of Engineering at CMU, a panel discussion and Q&A with CMU Engineering students, and lab tours with current students who are involved in co-curricular organizations and activities. Come get a first-hand look at a variety of engineering disciplines at Carnegie Mellon University’s College of Engineering.",Enrichment Exposure Exploration,Events,Engineering,14-18,High School,,,https://engineering.cmu.edu/education/stem/programs.html,,0,,0,$0.00,Gelfand Center,,1,16,17,8,
20,"The CMU College of Engineering Career Exploration Series offers virtual assembly-style programs for high school students that can serve as entry points into specific engineering career fields through panel discussions and Q&A with CMU faculty, staff, students, alumni, and corporate partners. Each session will focus on a different engineering topic. Sessions are held throughout the school year.",Enrichment Exposure Exploration,Events,Engineering,14-18,High School,,,https://engineering.cmu.edu/education/stem/programs.html,,0,,0,$0.00,Gelfand Center,,1,17,17,9,
21,"FIRST Robotics Competition (FRC) team 3504, the Girls of Steel, was founded in the fall of 2010 at Carnegie Mellon University's Field Robotics Center. Initially, the team consisted of 24 girls from 12 different schools, and 4 different educational options (homeschool, public school, cyber school, and independent school). The FRC team welcomes applications from girls in middle and high school in the greater Pittsburgh area, regardless of financial status. Mentored at CMU by faculty, staff, students, and parent volunteers,  the team competes in annual regional FIRST robotics competitions, and has received numerous awards.",Local Clubs,Competitions,Robotics,14-18,High School,,,http://girlsofsteelrobotics.com/,,0,,0,,Gelfand Center,,1,17,,10,
22,"FIRST Robotics Competition (FRC) team 3504, the Girls of Steel, was founded in the fall of 2010 at Carnegie Mellon University's Field Robotics Center. Initially, the team consisted of 24 girls from 12 different schools, and 4 different educational options (homeschool, public school, cyber school, and independent school). The FRC team welcomes applications from girls in middle and high school in the greater Pittsburgh area, regardless of financial status. Mentored at CMU by faculty, staff, students, and parent volunteers,  the team competes in annual regional FIRST robotics competitions, and has received numerous awards.",Local Clubs,Competitions,Robotics,11-14,Middle School,,,http://girlsofsteelrobotics.com/,,0,,0,,Gelfand Center,,1,,,10,
23,"This olympiad is a contest in which high-school students solve linguistic puzzles. In solving the problems, students learn about the diversity and consistency of language, while exercising logic skills. No prior knowledge of linguistics or second languages is necessary. Professionals in linguistics, computational linguistics and language technologies use dozens of languages to create engaging problems that represent cutting edge issues in their fields. The competition has attracted top students to study and work in those same fields. It is truly an opportunity for young people to experience a taste of natural-language processing in the 21st century.",Competitions,Competitions,Linguistics,14-18,High School,412-268-7517,,https://www.lti.cs.cmu.edu/naclo-cmu,,0,"Any high school or middle school student is invited to participate in the Open Round.

The top-performing students in the Open Round Exam will be invited to participate in the Invitational Round

- You have never been enrolled as a full-time college or university student.
- You must be less than 20 years old on the first day of the IOL, whose dates are at
https://ioling.org/upcoming/.
- You are a citizen of the US or Canada or a student in a secondary school in the US or Canada.
- You are available to participate in the contest at one of the times it's offered.
- You can either participate in the contest at a registered university site or find a teacher or librarian
who can run a high school site as specified elsewhere.",0,$0.00,Gelfand Center,,2,18,21,11,
24,"The Pennsylvania Governor's School for the Sciences (PGSS) was established in order to provide a summer enrichment experience in the sciences and mathematics for talented Pennsylvania high school students and to encourage them to pursue careers in the fields of science, technology, engineering or mathematics. The program provides instruction in biological sciences, chemistry, physics, mathematics, and computer science, with emphasis on collaborative learning and team research.

PGSS offers the opportunity to participate in true scientific research and specialized scientific study. The program seeks to maintain a pipeline of modern technological talent throughout the state of Pennsylvania, where cities such as Pittsburgh, Philadelphia, and State College are quickly becoming medical, technological, and entrepreneurial hubs. Finally, PGSS takes a special interest in promoting the involvement of under-represented minorities in STEM fields and strongly encourages students from all backgrounds to apply.",Enrichment Exposure Exploration,Courses/Workshops,STEM,14-18,High School,_570-321-9555,,https://sciences.pa-gov-schools.org/,,0,"Academically talented high school students who are residents of the Commonwealth of Pennsylvania and are current juniors at the time of the application deadline may apply to the Pennsylvania Governor's School for the Sciences. Applicants will be expected to demonstrate academic achievement, interest in the sciences and mathematics, and a record of pursuing this interest in activities beyond the classroom.

The application consists of four parts. The applicant completes the personal data form, attaching essays. Two teachers, a science teacher and a mathematics teacher, complete reference forms. The applicant's school counselor completes a recommendation form and attaches the student's transcript, attendance record, and test scores and class standing, if available.

Students are expected to remain on campus for the full five weeks of the program. Visits home are not allowed. Students are expected to arrive promptly for all classes and program activities.

Tuition, room, board, instructional materials, and costs of program activities are provided free of charge to students who are selected to participate. Families are responsible for students' transportation to and from the program, pocket money for personal needs, and for a residential life deposit which is returned if all conditions are met at the end of the program.",0,$0.00,Gelfand Center,,3,19,2,12,
25,SWE++ is a 9-week coding camp taught by CMU SWE students to provide Middle School girls an introduction to the world of computer science. SWE was started by SWE at UC Berkeley to bridge the gender gap in Computer Science and inspire more girls to pursue the subject. SHE's purpose is to provide quality computer science education to local middle school girls in a fun and supportive learning environment.,Enrichment Exposure Exploration,Camps,Computer Science,11-14,Middle School,412-268-4827,,https://cmuswe.org/calendar,,0,,0,$0.00,Gelfand Center,,1,20,26,13,
26,The CodeBozu fellowship provides students with an opportunity to work on real world computer science projects asynchronously. The 3rd Fellowship Cohort will run from Mar – Apr. The first and second cohort attracted 150 and 600 students from over 15 schools across the world.,Fellowships,Courses/Workshops,Computer Science,14-18,High School,,,https://www.codebozu.com/,,1,Have an interest in using CS to build real-world projects. No coding experience is needed,1,$0.00,Gelfand Center,,4,,32,14,
27,The CodeBozu fellowship provides students with an opportunity to work on real world computer science projects asynchronously. The 3rd Fellowship Cohort will run from Mar – Apr. The first and second cohort attracted 150 and 600 students from over 15 schools across the world.,Fellowships,Courses/Workshops,Computer Science,11-14,Middle School,,,https://www.codebozu.com/,,1,Have an interest in using CS to build real-world projects. No coding experience is needed,1,$0.00,Gelfand Center,,4,,32,14,
28,BAM is dedicated to supporting the continued growth and development of black employees and encouraging students to pursue a career in technology.,Scholarships,Scholarships,Technology ,14-18,HIgh School,,,https://www.microsoft.com/en-us/diversity/programs/bam-scholarship.aspx,,1,"Be a US-based high school senior of African descent (for example, African American, African, Ethiopian, etc.). Plan to attend a four-year college or university in the US in the fall immediately following your high school graduation. Plan to pursue a bachelor’s degree in engineering, computer science, computer information systems, or select business programs (such as finance, business administration, or marketing).",1,$0.00,Gelfand Center,,5,,,15,
29,HOLA is dedicated to supporting the continued growth and development of Hispanic and Latinx employees and encouraging students to pursue a career in technology.,Scholarships,Scholarships,Technology ,14-18,High School,,,https://www.microsoft.com/en-us/diversity/programs/hola-scholarship.aspx,,1,"Be a US-based high school senior of Hispanic and Latinx descent (for example, Mexican American, Cuban American, Brazilian, etc) of an accredited organization. Plan to attend a two or four-year college or university in the US. Plan to pursue an associate’s or bachelor’s degree in engineering, computer science, business management, marketing, or have a declared major.",1,$0.00,Gelfand Center,,5,,,16,
30,"This scholarship will be awarded to promising high school seniors with disabilities who plan to attend a vocational or academic college and target a career in the technology industry. The scholarships are renewable – each winner who continues to meet the criteria is eligible to receive an annual award of $5,000 for up to four (4) consecutive years for a potential total $20,000 scholarship.",Scholarships,Scholarships,,14-18,High School,,,https://www.microsoft.com/en-us/diversity/programs/microsoftdisabilityscholarship.aspx,,1,"Be a current high school senior living with a disability (as defined by WHO), whether that be visual, hearing, mobility, cognitive, speech or other disability. Plan to attend an undergraduate program in a 2 or 4-year University/College or Technical College in the fall of the academic year following high-school graduation. Schools must be in the USA or have a USA-Affiliate for financial transactions (contact Seattle Foundation to verify non-US school’s eligibility). Declare an approved major in engineering, computer science, computer information systems, law, business, or a related field (e.g. paralegal, pre-law, finance, business administration, or marketing).",1,$0.00,Gelfand Center,,5,,,17,
31,"Carnegie Mellon University will be hosting another year of picoCTF, a free, online computer security contest for middle and high school students. The annual competition aims to introduce young minds to the field of cybersecurity, walking students through increasingly difficult challenges that mimic real-world cybersecurity problems. Teachers around the nation have used picoCTF as a fun learning tool, as over 100,000 students have competed in the annual contest to date.",Competitions,Competitions,Cybersecurity,14-18,High School,,,https://picoctf.org/,,1,"Middle school or high school students. Teams may consist of 1-5 players, and may consist of players at different schools. To be eligible for prizes during competition period, all players on a team must be eligible.",0,$0.00,Gelfand Center,,1,,,18,
32,"Carnegie Mellon University will be hosting another year of picoCTF, a free, online computer security contest for middle and high school students. The annual competition aims to introduce young minds to the field of cybersecurity, walking students through increasingly difficult challenges that mimic real-world cybersecurity problems. Teachers around the nation have used picoCTF as a fun learning tool, as over 100,000 students have competed in the annual contest to date.",Competitions,Competitions,Cybersecurity,11-14,Middle School,,,https://picoctf.org/,,1,"Middle school or high school students. Teams may consist of 1-5 players, and may consist of players at different schools. To be eligible for prizes during competition period, all players on a team must be eligible.",0,$0.00,Gelfand Center,,1,,,18,
33,"The Your Voice Is Power competition is their opportunity to remix beats while learning to code. Yes, code! For the competition, students use EarSketch, a free online code editor, to compose a unique song while learning computer science. No experience is necessary to participate. Students can also participate in the curriculum experience to learn how to include themes of social justice and entrepreneurship to their song.
Students can receive prizes ranging from $25 amazon gift card to $5000 grant to start a business!",Competitions,Competitions,Computer Science,14-18,High School,,,https://mailchi.mp/321452eddb88/your-voice-is-power-2022-launching-december-1st,,1,"Middle school or high school students. Teams may consist of 1-5 players, and may consist of players at different schools. To be eligible for prizes during competition period, all players on a team must be eligible.",1,$0.00,Gelfand Center,,6,,,19,
34,"The Your Voice Is Power competition is their opportunity to remix beats while learning to code. Yes, code! For the competition, students use EarSketch, a free online code editor, to compose a unique song while learning computer science. No experience is necessary to participate. Students can also participate in the curriculum experience to learn how to include themes of social justice and entrepreneurship to their song.
Students can receive prizes ranging from $25 amazon gift card to $5000 grant to start a business!",Competitions,Competitions,Computer Science,11-14,MIddle School,,,https://mailchi.mp/321452eddb88/your-voice-is-power-2022-launching-december-1st,,1,"Middle school or high school students. Teams may consist of 1-5 players, and may consist of players at different schools. To be eligible for prizes during competition period, all players on a team must be eligible.",1,$0.00,Gelfand Center,,6,,,19,
35,"Come compete in the World’s Largest Robotics Competition!  The Robotics Education & Competition (REC) Foundation has a mission to Inspire students, one robot at a time. What truly sets us apart from other robotics competitions: (1)  Affordability – lowest cost of entry of all high end robotics competition platforms that include the engineering design process, building, programming and driving (2)  Approachability – the only robotics competition platform that has a “Student Centered” model in which we create a competitive environment where not only is technical mentorship not needed, it’s not allowed!  (3) Workforce Development – the only robotics competition that gives FREE curriculum, lesson plans and certifications to the teachers/coaches/students ",Competitions,Competitions,Robotics,11-14,MIddle School,903-401-8088,,https://www.roboticseducation.org/,,1,,0,$50.00,Gelfand Center,,7,,,20,
36,"Come compete in the World’s Largest Robotics Competition!  The Robotics Education & Competition (REC) Foundation has a mission to Inspire students, one robot at a time. What truly sets us apart from other robotics competitions: (1)  Affordability – lowest cost of entry of all high end robotics competition platforms that include the engineering design process, building, programming and driving (2)  Approachability – the only robotics competition platform that has a “Student Centered” model in which we create a competitive environment where not only is technical mentorship not needed, it’s not allowed!  (3) Workforce Development – the only robotics competition that gives FREE curriculum, lesson plans and certifications to the teachers/coaches/students ",Competitions,Competitions,Robotics,14-18,High School,903-401-8088,,https://www.roboticseducation.org/,,1,,0,$50.00,Gelfand Center,,7,,,20,
37,"The Architecture Explorations program encourages Pittsburgh youth to look closely at their built environment, be open to creative expression, ask questions, think critically, and understand civic responsibility - all through the lens of architecture. Architecture Explorations is a collection of architecture-based extracurricular and academic enrichment programs for students in kindergarten through high school, offered through Carnegie Mellon's School of Architecture. Our organization partners with several Pittsburgh communities, schools, and museums to provide an array of architecture education programs. Whether you are a student, parent, counselor, teacher, or community organization, we would love to hear from you and help devise a plan to provide a program that is tailored for each appropriate age-group and organization.

Register for a CAE Tour or Workshop and join us on CMU’s campus to learn more about our programs, an architecture career, or a specific-interest topic. Past tours have explored architecture and technology, green roofs, and sustainability.",Enrichment Exposure Exploration,Events,Architecture,5-11,Elementary School,,,http://soa.cmu.edu/architecture-explorations/,,0,,0,,Gelfand Center,,1,21,15,21,54
38,"The Architecture Explorations program encourages Pittsburgh youth to look closely at their built environment, be open to creative expression, ask questions, think critically, and understand civic responsibility - all through the lens of architecture. Architecture Explorations is a collection of architecture-based extracurricular and academic enrichment programs for students in kindergarten through high school, offered through Carnegie Mellon's School of Architecture. Our organization partners with several Pittsburgh communities, schools, and museums to provide an array of architecture education programs. Whether you are a student, parent, counselor, teacher, or community organization, we would love to hear from you and help devise a plan to provide a program that is tailored for each appropriate age-group and organization.

Register for a CAE Tour or Workshop and join us on CMU’s campus to learn more about our programs, an architecture career, or a specific-interest topic. Past tours have explored architecture and technology, green roofs, and sustainability.",Enrichment Exposure Exploration,Events,Architecture,11-14,Middle School,,,http://soa.cmu.edu/architecture-explorations/,,0,,0,,Gelfand Center,,1,21,15,21,54
